Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1571569754,2019-10-20T11:09:14Z,RYR1XD,"52.415817,16.829092",0,0,89
1571569789,2019-10-20T11:09:49Z,RYR1XD,"52.416069,16.829205",0,10,194
1571569809,2019-10-20T11:10:09Z,RYR1XD,"52.416332,16.829281",0,9,202
1571569972,2019-10-20T11:12:52Z,RYR1XD,"52.41655,16.829262",0,13,284
1571569982,2019-10-20T11:13:02Z,RYR1XD,"52.416611,16.828876",0,18,289
1571569989,2019-10-20T11:13:09Z,RYR1XD,"52.416855,16.828505",0,25,329
1571569996,2019-10-20T11:13:16Z,RYR1XD,"52.417168,16.828485",0,28,8
1571570004,2019-10-20T11:13:24Z,RYR1XD,"52.41766,16.828728",0,31,19
1571570010,2019-10-20T11:13:30Z,RYR1XD,"52.41803,16.828936",0,33,19
1571570017,2019-10-20T11:13:37Z,RYR1XD,"52.418365,16.829113",0,32,16
1571570023,2019-10-20T11:13:43Z,RYR1XD,"52.418747,16.828995",0,31,331
1571570032,2019-10-20T11:13:52Z,RYR1XD,"52.418964,16.828175",0,34,286
1571570041,2019-10-20T11:14:01Z,RYR1XD,"52.41917,16.827087",0,18,289
1571570049,2019-10-20T11:14:09Z,RYR1XD,"52.419437,16.825718",0,22,286
1571570056,2019-10-20T11:14:16Z,RYR1XD,"52.419647,16.82464",0,23,286
1571570065,2019-10-20T11:14:25Z,RYR1XD,"52.419937,16.823139",0,24,286
1571570077,2019-10-20T11:14:37Z,RYR1XD,"52.420357,16.820911",0,24,289
1571570083,2019-10-20T11:14:43Z,RYR1XD,"52.420567,16.819859",0,24,289
1571570094,2019-10-20T11:14:54Z,RYR1XD,"52.420952,16.81789",0,24,289
1571570101,2019-10-20T11:15:01Z,RYR1XD,"52.421185,16.816694",0,25,289
1571570107,2019-10-20T11:15:07Z,RYR1XD,"52.421402,16.815548",0,25,289
1571570113,2019-10-20T11:15:13Z,RYR1XD,"52.421608,16.814461",0,24,289
1571570119,2019-10-20T11:15:19Z,RYR1XD,"52.421803,16.813469",0,23,289
1571570131,2019-10-20T11:15:31Z,RYR1XD,"52.422173,16.811535",0,21,286
1571570137,2019-10-20T11:15:37Z,RYR1XD,"52.422359,16.810593",0,21,286
1571570149,2019-10-20T11:15:49Z,RYR1XD,"52.422707,16.808748",0,20,286
1571570155,2019-10-20T11:15:55Z,RYR1XD,"52.422894,16.807865",0,21,289
1571570161,2019-10-20T11:16:01Z,RYR1XD,"52.423073,16.806889",0,21,286
1571570167,2019-10-20T11:16:07Z,RYR1XD,"52.423244,16.806042",0,16,289
1571570174,2019-10-20T11:16:14Z,RYR1XD,"52.423496,16.805649",0,30,329
1571570180,2019-10-20T11:16:20Z,RYR1XD,"52.423847,16.805649",0,30,11
1571570189,2019-10-20T11:16:29Z,RYR1XD,"52.424343,16.805878",0,29,14
1571570197,2019-10-20T11:16:37Z,RYR1XD,"52.424767,16.806238",0,29,43
1571570203,2019-10-20T11:16:43Z,RYR1XD,"52.424835,16.80685",0,15,95
1571570209,2019-10-20T11:16:49Z,RYR1XD,"52.424629,16.807804",0,28,109
1571570215,2019-10-20T11:16:55Z,RYR1XD,"52.42424,16.809807",0,56,109
1571570225,2019-10-20T11:17:05Z,RYR1XD,"52.423233,16.815109",325,95,107
1571570233,2019-10-20T11:17:13Z,RYR1XD,"52.421814,16.822433",325,128,107
1571570239,2019-10-20T11:17:19Z,RYR1XD,"52.420567,16.828623",325,147,107
1571570245,2019-10-20T11:17:25Z,RYR1XD,"52.419262,16.835215",475,150,107
1571570251,2019-10-20T11:17:31Z,RYR1XD,"52.417961,16.841806",700,152,108
1571570257,2019-10-20T11:17:37Z,RYR1XD,"52.41655,16.84845",925,154,108
