Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1571582839,2019-10-20T14:47:19Z,RYR8071,"39.607365,19.912766",0,0,168
1571583021,2019-10-20T14:50:21Z,RYR8071,"39.607143,19.912794",0,16,180
1571583031,2019-10-20T14:50:31Z,RYR8071,"39.606903,19.912525",0,22,239
1571583039,2019-10-20T14:50:39Z,RYR8071,"39.607075,19.91214",0,21,323
1571583045,2019-10-20T14:50:45Z,RYR8071,"39.607307,19.912048",0,23,343
1571583052,2019-10-20T14:50:52Z,RYR8071,"39.60759,19.911974",0,27,348
1571583060,2019-10-20T14:51:00Z,RYR8071,"39.608093,19.911839",0,32,348
1571583067,2019-10-20T14:51:07Z,RYR8071,"39.608505,19.911734",0,34,348
1571583073,2019-10-20T14:51:13Z,RYR8071,"39.608902,19.911636",0,33,348
1571583079,2019-10-20T14:51:19Z,RYR8071,"39.609306,19.911526",0,33,348
1571583086,2019-10-20T14:51:26Z,RYR8071,"39.609703,19.911423",0,15,348
1571583097,2019-10-20T14:51:37Z,RYR8071,"39.610565,19.911213",0,15,348
1571583104,2019-10-20T14:51:44Z,RYR8071,"39.610954,19.911123",0,31,348
1571583115,2019-10-20T14:51:55Z,RYR8071,"39.61153,19.910965",0,20,348
1571583127,2019-10-20T14:52:07Z,RYR8071,"39.611858,19.910873",0,17,345
1571583137,2019-10-20T14:52:17Z,RYR8071,"39.612099,19.910601",0,22,309
1571583143,2019-10-20T14:52:23Z,RYR8071,"39.612236,19.910301",0,25,298
1571583152,2019-10-20T14:52:32Z,RYR8071,"39.612385,19.909779",0,22,281
1571583158,2019-10-20T14:52:38Z,RYR8071,"39.612362,19.90951",0,17,261
1571583169,2019-10-20T14:52:49Z,RYR8071,"39.612144,19.909481",0,10,165
1571583206,2019-10-20T14:53:26Z,RYR8071,"39.61187,19.909555",0,19,165
1571583214,2019-10-20T14:53:34Z,RYR8071,"39.610027,19.910048",0,68,168
1571583225,2019-10-20T14:53:45Z,RYR8071,"39.606033,19.911108",0,111,168
1571583236,2019-10-20T14:53:56Z,RYR8071,"39.598068,19.913078",0,161,168
1571583242,2019-10-20T14:54:02Z,RYR8071,"39.593609,19.914246",0,172,168
1571583249,2019-10-20T14:54:09Z,RYR8071,"39.588776,19.915646",275,172,166
1571583255,2019-10-20T14:54:15Z,RYR8071,"39.584019,19.917419",600,173,162
1571583261,2019-10-20T14:54:21Z,RYR8071,"39.579529,19.919945",900,176,151
1571583269,2019-10-20T14:54:29Z,RYR8071,"39.573807,19.925379",1200,187,137
1571583275,2019-10-20T14:54:35Z,RYR8071,"39.570602,19.929855",1325,198,131
1571583283,2019-10-20T14:54:43Z,RYR8071,"39.566006,19.937073",1550,210,128
1571583290,2019-10-20T14:54:50Z,RYR8071,"39.560745,19.946289",1775,225,124
1571583297,2019-10-20T14:54:57Z,RYR8071,"39.556786,19.953552",2025,230,125
1571583303,2019-10-20T14:55:03Z,RYR8071,"39.552841,19.960009",2400,229,130
1571583309,2019-10-20T14:55:09Z,RYR8071,"39.548447,19.966158",2850,225,133
1571583319,2019-10-20T14:55:19Z,RYR8071,"39.541763,19.974518",3525,220,136
1571583327,2019-10-20T14:55:27Z,RYR8071,"39.535767,19.981325",4075,218,139
1571583336,2019-10-20T14:55:36Z,RYR8071,"39.528252,19.989319",4575,222,141
